name,type,location,address,open_time
万科广场,商场,"116.459424,39.805672",忠凉路1号(旧宫地铁站B1南口步行110米),
百盛复兴门店,商场,"116.358333,39.908391",复兴门内大街101号(复兴门地铁站A西北口步行100米),
鲁能美丽汇购物中心,商场,"116.651231,40.178728",马坡镇乾安路13号,
新辰天地(大兴店南区),商场,"116.331524,39.738711",清源路26号(清源路地铁站A西北口步行120米),
1733商业空间,商场,"116.343058,39.966325",北三环西路8-13号(地铁12号线大钟寺站D口),
贵友大厦(建外店),商场,"116.451074,39.909056",建国门外大街甲5号(永安里地铁站B东北口旁),
新活馆,商场,"116.413225,39.899797",东打磨厂街7号宝鼎中心A座,
三里屯SOHO商场1号楼,商场,"116.453141,39.933001",工人体育场北路8号三里屯SOHO办公A,
天通尾货,商场,"116.409422,40.074687",[],
新业广场,商场,"116.447081,39.857384",成寿寺路2号,
中粮·祥云小镇北区,商场,"116.536591,40.089650",安泰大街9号,
京北大世界,商场,"116.632241,40.315320",府前街14号,
澳门中心,商场,"116.413327,39.914866",王府井东街8号,
星悦广场,商场,"116.575461,39.923220",常营街道三间房东路4号(黄渠地铁站D西南口步行170米),
工美大厦(东单三条),商场,"116.411887,39.910839",王府井大街200号(王府井地铁站E3东北口旁),
闽龙广场,商场,"116.476117,39.855686",大羊坊路37号,
百尚生活广场,商场,"116.544945,39.753013",马驹桥兴华中街潼关三区9号楼,
阳光新生活广场(通州店),商场,"116.656336,39.889718",翠景北里1号楼九棵树西路80号,
江边城外烤全鱼(宣武门店),商场,"116.375762,39.895857",宣武门外大街8号庄胜崇光百货4层401-2401,
大族广场Mall&More,商场,"116.512841,39.791811",荣华南路2号(荣京东街地铁站),
甘家口百货,商场,"116.333262,39.927491",三里河路17号(甘家口地铁站A西北口步行370米),
隆华奥特莱斯购物广场,商场,"116.642237,40.128497",贯通路东侧18号(石门地铁站C东南口步行110米),
西点茂MALL,商场,"116.265217,39.905249",永定路与北太平路交叉口北100米,
京投港·长阳购物中心,商场,"116.212914,39.763023",长政南街1号院1号楼(长阳地铁站B南口步行200米),
金四季购物中心,商场,"116.271566,39.944263",西四环北路117号(四季青桥地铁站A口步行350米),
上品+,商场,"116.358333,39.850955",花乡草桥东路1号1-3层,
悦茂购物中心,商场,"116.349720,40.043497",营福路与前屯路交叉口东100米,
华冠购物中心,商场,"116.139337,39.735063",拱辰街道北关西路14号1幢,
西长安中骏世界城,商场,"116.125551,39.911716",北京城区曹各庄中路与新城东街交叉口(桥户营地铁站旁),
世纪金源购物中心东区,商场,"116.289992,39.958681",远大路1号金源时代购物中心(长春桥地铁站B口步行160米),
顺义隆华购物中心,商场,"116.650415,40.126508",新顺南大街1号,
唐人街购物中心,商场,"116.390654,39.981199",民族园路2号唐人街购物广场1层,
前门东大街23号院,住宅区,"116.401501,39.901455",前门东大街23号(前门地铁站E2北口步行250米),
新怡家园,住宅区,"116.414879,39.898282",东打磨厂街36号(崇文门地铁站H西南口步行250米),
兴隆都市馨园,住宅区,"116.414046,39.895258",东兴隆街58号,
国瑞城中区,住宅区,"116.422956,39.898345",国瑞北路与国瑞西路交汇处东南角,
新世界家园,住宅区,"116.416674,39.894735",崇文门外大街5号(磁器口地铁站A西北口步行180米),
金鱼池中街2号院,住宅区,"116.408932,39.891562",金鱼池中街2号(桥湾地铁站C东南口步行160米),
新景家园西区,住宅区,"116.422129,39.895398",西花市大街32号(磁器口地铁站F1东北口步行100米),
新景家园,住宅区,"116.424303,39.895407",崇文门西花市大街8号(新世界商场向东150米),
金鱼池中区,住宅区,"116.408813,39.889646",天坛路87号(桥湾地铁站C东南口步行320米),
金鱼池西区,住宅区,"116.406658,39.889505",桥湾地铁站D西南口步行300米,
国瑞城东区,住宅区,"116.425772,39.898194",国瑞东路26号,
新景家园东区,住宅区,"116.425537,39.895471",西花市大街(磁器口地铁站F1东北口步行410米),
长安太和,住宅区,"116.426064,39.911296",建国门大街甲11号,
东花市北里西区,住宅区,"116.429411,39.898736",东花市大街61号,
质城·花市枣苑,住宅区,"116.429391,39.896361",广渠门内地铁站A西北口步行320米,
新裕家园,住宅区,"116.424111,39.892780",广渠门内大街90号(磁器口地铁站G东南口步行190米),
东花市北里中区,住宅区,"116.433552,39.898932",东花市街道北里,
和平门小区,住宅区,"116.380230,39.903037",西绒线胡同10号,
富贵园一区,住宅区,"116.433304,39.896508",东花市大街54号,
幸福家园,住宅区,"116.430498,39.892293",广渠门内大街与幸福大街交汇处以东约50米路南通正国际大厦东侧路南,
报房胡同小区,住宅区,"116.414150,39.922387",报房胡同69号(东四地铁站G西南口步行430米),
椿树园奥运社区,住宅区,"116.378201,39.893956",椿树园17号,
法华南里,住宅区,"116.426938,39.886095",体育馆路,
建国门外外交公寓,住宅区,"116.437477,39.910585",秀水街1号(建国门地铁站B东北口步行290米),
陶然北岸·韵竹园,住宅区,"116.383276,39.884320",南横东街5-2号,
本家·润园C区,住宅区,"116.437273,39.894630",东花市南里(广渠门内地铁站B东北口步行120米),
京能四合上院,住宅区,"116.378237,39.891816",山西街6号(菜市口地铁站F东北口步行350米),
富贵园三区,住宅区,"116.432459,39.894536",中国强胡同(广渠门内地铁站A西北口步行280米),
天桥南里,住宅区,"116.396294,39.882446",天桥南大街与北纬路交叉口东南,
本家·润园,住宅区,"116.437008,39.895698",安化北里2号院1东北方向190米,
亚太大厦,住宅区,"116.436039,39.914898",雅宝路8号,
盛景嘉园,住宅区,"116.396346,39.881483",福长街盛景嘉园二号楼四单元(天桥地铁站D西南口步行160米),
东花市大街2号院,住宅区,"116.438542,39.897379",白桥大街与白桥北里交叉口西南60米,
永定门东街东里,住宅区,"116.412171,39.873559",永定门东街与景泰路交叉口西120米,
中海·枫丹公馆,住宅区,"116.439738,39.903874",朝阳建国门桥东南1000米,
培新街乙五号院,住宅区,"116.433276,39.889974",广渠门大街培新街乙5号,
幸福北里小区,住宅区,"116.433984,39.887771",幸福巷16号,
天坛东里中区,住宅区,"116.419706,39.876022",天坛东路,
东四小区,住宅区,"116.427187,39.926388",朝阳门北小街8-4号附近,
三丰里,住宅区,"116.438625,39.919398",三丰路,
嘉华世纪,住宅区,"116.440969,39.905764",建外大街18号,
复兴门内大街45号院,住宅区,"116.370897,39.908378",北京复兴门内大街(西单地铁站F2西北口步行180米),
中信沁园,住宅区,"116.376372,39.885737",菜市口大街甲2号院(菜市口地铁站C东南口步行330米),
四平园小区,住宅区,"116.379975,39.881958",陶然亭街道南横东街97号,
光明楼(光明西街),住宅区,"116.437358,39.886413",光明桥西,
南纬路2号院,住宅区,"116.394396,39.879407",天桥西侧陶然亭公园东(天桥地铁站D西南口步行310米),
雅宝里,住宅区,"116.438551,39.917501",朝阳门南大街12号,
中信锦园,住宅区,"116.376662,39.884214",菜市口大街,
中信禧园,住宅区,"116.378856,39.886622",菜市口南大街,
中信禧园北区,住宅区,"116.378773,39.887577",果子巷1号院,
天坛东里南区,住宅区,"116.420040,39.874040",[],
南门仓社区,住宅区,"116.427604,39.928455",仓南胡同与朝阳门北小街路口东北角,
灵通观,住宅区,"116.446445,39.905007",永安里中街25号,
壹瓶,住宅区,"116.384385,39.877826",陶然亭2号,
京畿道小区,住宅区,"116.367919,39.909897",中京畿道2号,
劲松小区九区,住宅区,"116.445667,39.887859",东二环,
牛街东里小区一区,住宅区,"116.365723,39.887374",教子胡同与麻刀胡同牛街(牛街地铁站C口步行490米),
康乐里小区,住宅区,"116.367508,39.895422",下斜街,
枫桦豪景1期,住宅区,"116.372137,39.888303",烂缦胡同与广安门内大街交叉口西南120米,
远洋德邑,住宅区,"116.446447,39.895113",忠实里南街乙6(广渠门外地铁站A西北口步行380米),
海运仓,住宅区,"116.427911,39.935191",南颂年胡同7号楼1单元201室(靠近东直门医院),
富力城D区,住宅区,"116.452998,39.895738",东三环中路35号(广渠门外地铁站B东北口步行250米),
东大桥路小区,住宅区,"116.449702,39.914274",东大桥路69号,
长青园,住宅区,"116.426344,39.875867",天坛东门玉蜓桥附近,
广渠家园,住宅区,"116.448826,39.891643",广渠门桥东南角(广渠门外地铁站D西南口步行220米),
丰汇园小区,住宅区,"116.366958,39.915304",太平桥大街84号,
牛街春风社区,住宅区,"116.365520,39.884443",牛街20号,
通用时代国际公寓,住宅区,"116.450041,39.904833",建国门外大街永安东里甲3号,
中海凯旋,住宅区,"116.364545,39.912964",太平桥大街98号(太平桥地铁站A口步行420米),
蓝筹名座,住宅区,"116.439033,39.927298",吉祥里,
富力城,住宅区,"116.455466,39.896457",天力街附近,
三庙小区,住宅区,"116.365220,39.897771",长椿街地铁口(长椿街地铁站C1东南口步行180米),
蒲黄榆二里,住宅区,"116.418869,39.870220",东铁匠营方庄蒲黄榆,
吉祥里西区,住宅区,"116.439269,39.926036",朝外北街,
瑞士公寓(东中街),住宅区,"116.437055,39.932839",工体北路66号(港澳中心东侧),
光华西里社区,住宅区,"116.451343,39.910026",光华路贵友大厦北面(永安里地铁站B东北口步行140米),
富力公馆,住宅区,"116.448929,39.894863",朝阳广渠门外大街7号院富力山附近,
望坛新苑,住宅区,"116.404406,39.867583",琉璃井路71号(永定门外地铁站C东南口步行450米),
丰侨公寓,住宅区,"116.366167,39.917385",太平桥大街丰融园15号,
中海紫御公馆,住宅区,"116.391932,39.870028",永定门西滨河路8号,
北京尊府,住宅区,"116.361681,39.902569",闹市口大街9号(长椿街地铁站A2西北口步行470米),
劲松小区八区,住宅区,"116.448275,39.882944",劲松街道劲松路2号,
光华里社区,住宅区,"116.454251,39.911085",建国门外街道(永安里地铁站B1北口步行320米),
广渠家园南区,住宅区,"116.449243,39.890974",广渠门桥东南角(广渠门外地铁站D西南口步行200米),
平原里小区,住宅区,"116.372287,39.881309",南横西街(陶然亭地铁站A西北口步行490米),
平原里小区北区,住宅区,"116.372183,39.882380",白纸坊,
广安门内大街小区,住宅区,"116.364192,39.888606",广内大街(牛街地铁站C口步行210米),
和平村B区,住宅区,"116.449152,39.889075",广和路与广和东街交叉口西北180米,
金宸国际公寓,住宅区,"116.361748,39.912892",广成街2-4(太平桥地铁站A口步行390米),
交道口东大街小区A区,住宅区,"116.414977,39.940015",交道口东大街(北新桥地铁站E口步行140米),
郭庄北里,住宅区,"116.411211,39.869285",永定门外大街,
东华金座,住宅区,"116.365579,39.888702",广内大街118号(牛街地铁站C口步行210米),
新城·国际,住宅区,"116.455639,39.918092",朝阳门外大街6号,
